Time	Quote	Title of book	Author
00:35	Clock time is 0 Hours, 12 Minutes, 0 Seconds. Twenty three minutes later, they have their first sight of Venus. Each lies with his Eye clapp'd to the Snout of an identical two and a half foot Gregorian reflector made by Mr Short, with Darkening-Nozzles by Mr Bird.	Mason & Dixon	Thomas Pynchon
00:36	Alex went back inside, noted that the time was thirty-six minutes past midnight, and dialed 9 1 1 to report that he had found a dead stranger in the driveway. Then he rinsed his mouth, blew his nose, and dug a pair of winter gloves from the bottom drawer of his bureau. He pulled the wool liners out of the leather. He wanted another look, but he did not want to take the chance of leaving his fingerprints behind.	Return To Sender	Dick Cluster
00:37	I came to the conclusion that the whole business at twenty-three minutes to one was a comedy played for my benefit! Anyone might see through the watch business—it is a common enough device in detective stories.	Murder on the Orient Express	Agatha Christie
00:38	HILDEGARDE SCHMIDT, German subject, Berth No. 8, Second Class. Motive—None. Alibi—Midnight to 2 A.M. (Vouched for by conductor and her mistress.) Went to bed. Was aroused by conductor at 12.38 approx. and went to mistress.	Murder on the Orient Express	Agatha Christie
00:39	Next, he remembered that the morrow of Christmas would be the twenty-seventh day of the moon, and that consequently high water would be at twenty-one minutes past three, the half-ebb at a quarter past seven, low water at thirty-three minutes past nine, and half flood at thirty-nine minutes past twelve.	Toilers of the Sea	Victor Hugo
00:40	'Twenty minutes to one?' exclaimed Helen. 'My mother will certainly think we're lost. But I hate to go. It is magnificent, even if it is terrible.'	White Ashes	Sidney R. Kennedy
00:41	The call had been made at 12:41 A.M. Sunday, just an hour or so after Thorson had apparently checked into the hotel in Phoenix.	The Poet	Michael Connelly
00:42	Nothing Harmon could do, though. By the time they got into the tunnel itself, it was eighteen minutes to one o'clock.	Rampage	John Sandford & Michele Cook
00:43	Seven nights after the Pope's death, the moon rose with the star Gienah her close companion. At forty-three minutes past midnight, I went into my windowless cabinet and opened the hidden compartment with a key.	The Devil's Queen	Jeanne Kalogridis
00:44	Uncle Dick protested, but we had our own way, and about a quarter to one on a bitter March night we let ourselves out and walked down to the works. For my part I would far rather have gone to bed, but after a few minutes the excitement of the proceeding began to assert itself, and I was bright and wakeful enough.	Patience Wins	George Manville Fenn
00:45	At 12.45, during a lull, Mr Yoshogi told me that owing to the war there were now many more women in England than men.	Pig and Pepper	David Footman
00:46	'This is not quite correct, however,' he added, glancing over the document. 'I wrote it rather hurriedly.'<br>'You see you begin, 'Whereas, at about a quarter to one on Tuesday morning an attempt was made,' and so on.	The Reigate Puzzle	Sir Arthur Conan Doyle
00:47	At 12:47a.m, Uncle Ho left us forever.	Last Night I Dreamed of Peace	Dang Thuy Tram
00:48	'We rise for the shipping forecast at forty-eight minutes past midnight and set off shortly afterwards. The forecast is for a moderate breeze from the southwest, possibly strengthening to Force 5. If it occurs, it will give us a sail. For the moment there is only the lightest of breezes and the sea is still very bumpy.'	Dolphins Under My Bed	Sandra Clayton
00:49	A very unfortunate thing happened, you see. Apparently Lori Petersen called the police shortly after she got home from the hospital early Saturday morning. We learned this from one of the dispatchers on duty at the time. At eleven minutes before one A.M., a 911 operator got a call. The Petersen residence came up on the computer screen but the line was immediately disconnected.	Postmortem	Patricia Cornwell
00:50	The packing was done at 12.50; and Harris sat on the big hamper, and said he hoped nothing would be found broken.	Three Men in a Boat	Jerome K. Jerome
00:51	The knock on Jonathan's door came at nine minutes to one. He was awake watching the moonlight shining through the curtains as it danced on the ceiling. 'Come in!' he said. His heart beat sped up as Laikynn walked through the door.	Humanity	Linus Locke
00:52	Its hands stood at eight minutes to one; they had stood so for an unknowable number of years before it had come into Petrovsky's possession, but he was still proud of it.	Russian Hide and Seek	Kingsley Amis
00:53	But at seven minutes to one o'clock in the morning a deafening whistling was heard, like that produced by a body of water rushing with great violence. The captain, Ned Land, and I were then on the poop, eagerly peering through the profound darkness. 'Ned Land,' asked the commander, 'you have often heard the roaring of whales?'<br>'Often, sir; but never such whales the sight of which brought me in two thousand dollars.	Twenty Thousand Leagues Under the Sea	Jules Verne
00:54	Everybody was happy; everybody was complimentary; the ice was soon broken; songs, anecdotes, and more drinks followed, and the pregnant minutes flew. At six minutes to one, when the jollity was at its highest—BOOM! There was silence instantly.	A Double Barrelled Detective Story	Mark Twain
00:55	He rolled one way, rolled the other, listened to the loud tick of the clock, and was asleep a minute later. Five to one in the morning. Fifty-one hours to go.	61 Hours	Lee Child
00:56	Teacher used to lie awake at night facing that clock, batting his eyelashes against his pillowcase to mimic the sound of the rolling drop action. One night, and this first night is lost in the countless later nights of compounding wonder, he discovered a game. Say the time was 12:56.	Lessons in Essence	Dana Standridge
00:57	A minute had passed, and the roller dropped a new leaf. 12:57. 12 + 57 = 69; 6 + 9 = 15; 1 + 5 = 6. 712 + 5 = 717; 71 + 7 = 78; 7 + 8 = 15; 1 + 5 = 6 again.	Lessons in Essence	Dana Standridge
00:58	I sit down at the work desk in my room and wave my hand to bring the computer out of standby. The twenty-four-hour clock reads 0058 hours.	Waypoint Kangaroo	Curtis C. Chen
00:59	It was downright shameless on his part to come visiting them, especially at night, almost at one in the morning, after all that had happened.	The Idiot	Fyodor Dostoyevsky
01:00	Hickory Dickory Dock<br>The mouse ran up the clock<br>The clock struck one<br>The mouse ran down<br>Hickory Dickory Dock	Traditional nursery rhyme	Anon
01:01	Thus it was that at one minute past one o'clock, when a preternaturally self-respecting porter dispassionately ascertained that nothing more would be required of him till morning and shut himself out of her presence, the girl subsided upon the edge of a bed of such sybaritic character as amply to warrant the designation de luxe, and, flushed and trembling with excitement (now that she dared once again to be her natural self) and with all incredulity appropriate to the circumstances, stared at the young woman who blankly stared back from a long mirror framed in the door.	Nobody	Louis Joseph Vance
01:02	Fallon approached the gate at two minutes past one, his swagger evidence of his satisfaction at the turn of events.	Blood Before Sunrise	Amanda Bonilla
01:03	Cleveland handed it to Toronto at 01:03 EST; that's seven minutes ago. At the moment, Toronto Center reports the aircraft's position as near London, Ontario. I have more information - course, height, speed - if you want it.	Airport	Arthur Hailey
01:04	The electric timepiece on the roofs marked four minutes past one as they rattled past. What people were still awake were most of them inside the shining windows of the restaurants, and the big porters were leaning sleepily against the doorposts of their hostelries. In the cab Ralston wondered what the President would say if he could see him then, chasing all over the town after a young woman and her male escort.	Mortmain	Arthur Cheney Train
01:05	'Certain, sir. It was just five minutes past one when I drove into our mews.'<br>'Now, then, be careful about this, Mountain. I want to know exactly what happened when you drove up to the house. Tell us in your own way.' The coachman looked round amongst the listeners as if he were a little perplexed. 'Why, sir,' he answered, turning back to Barthorpe, 'there was nothing happened!	The Herapath Property	J. S. Fletcher
01:06	When he woke it was 1:06 by the digital clock on the bedside table. He lay there looking at the ceiling, the raw glare of the vaporlamp outside bathing the bedroom in a cold and bluish light. Like a winter moon.	No Country for Old Men	Cormac McCarthy
01:07	Roger. Check your straps, everyone, and get ready. The engines will fire in about two minutes, at 01:07 on your GET clock. The seconds ticked away, going too fast yet seeming to take an eternity. This had to be it. Seconds to go, three more, two, one ...	Skyfall	Harry Harrison
01:08	My radio-alarm is glowing 01:08 when I hear footsteps on the stairs, the pause, the timid knock-knock-knock on my outer door.	The Bone Clocks	David Mitchell
01:09	They made an unostentatious exit from their coach, finding themselves, when the express had rolled on into the west, upon a station platform in a foreign city at nine minutes past one o'clock in the morning - but at length without their shadow.	The Black Bag	Louis Joseph Vance
01:10	February 26, Saturday - Richards went out 1.10am and found it clearing a bit, so we got under way as soon as possible	South: The Endurance Expedition	Ernest Shackleton
01:11	I left my door ajar and at eleven minutes past one I heard Harvey walking across the living-room. There was a gurgling as he took a swig from one of the bottles on the trolley. He let himself out of the front door as quietly as he could. I watched him from the window; he was alone.	Billion-Dollar Brain	Len Deighton
01:12	Her clock radio over on the dresser had a luminous dial, and it read twelve minutes past one o'clock in the morning. Who would be ringing her bell at a time like this?	The Sour Lemon Score	Richard Stark
01:13	He drew out his note-book and read aloud what the mysterious chandler had said to him: 'It was precisely thirteen minutes past one on the twenty-fourth of January when I drew my last breath.'<br>'Whether that is true,' Frederick concluded, 'remains to be proved.'	Atlantis	Gerhart Hauptmann
01:14	Now Camille-' And he swirled on her. 'Sal is here, this is my old buddy from New Yor-r-k, this is his first night in Denver and it's absolutely necessary for me to take him out and fix him up with a girl.'<br>'But what time will you be back?'<br>'It is now' (looking at his watch) 'exactly one-fourteen.	On the Road	Jack Kerouac
01:15	I am sorry, therefore, as I have said, that I ever paid any attention to the footsteps. They began about a quarter past one o'clock in the morning, a rhythmic, quick-cadenced walking around the dining-room table.	The Night the Ghost Got In	James Thurber
01:16	The oven clock said it was sixteen minutes past one. She was completely exhausted. She'd had dreams last night. She couldn't remember what they were about, but a strong sense of unease still hung over her.	Mona	Dan Sehlberg
01:17	The clocks stopped at 1:17. A long shear of light and then a series of low concussions. It's the end of the world.....	The Road	Cormac McCarthy
01:18	It was a Saturday night, or technically Sunday morning. It was eighteen minutes past one.	Summerland	Elin Hilderbrand
01:19	'Go to bed before he comes in,' she ordered herself for the umteenth time. Still, she sat looking at the clock. The minute hand shifted to nineteen past one and her nerves grew more on edge.	Haunted Husband	Elizabeth August
01:20	Well! she said, looking like a minor female prophet about to curse the sins of the people. 'May I trespass on your valuable time long enough to ask what in the name of everything bloodsome you think you're playing at, young piefaced Bertie? It is now some twenty minutes past one o'clock in the morning, and not a spot of action on your part.'	Jeeves and the Feudal Spirit	P. G. Wodehouse
01:21	I nodded and looked at the clock: 1:21 a.m. Her fingers moved across my skin. 'You're soaking. Were you dreaming?' I turned and looked at her in the darkness of the bedroom.	Vanished	Tim Weaver
01:22	It was 1:22 when we found Dad's grave.	Extremely Loud and Incredibly Close	Jonathan Safran Foer
01:23	The clock marked twenty-three minutes past one. He was suddenly full of agitation, yet hopeful. She had come! Who could tell what she would say? She might offer the most natural explanation of her late arrival. Félicie entered the room, her hair in disorder, her eyes shining, her cheeks white, her bruised lips a vivid red; she was tired, indifferent, mute, happy and lovely, seeming to guard beneath her cloak, which she held wrapped about her with both hands, some remnant of warmth and voluptuous pleasure.	A Mummer's Tale	Anatole France
01:24	Larkin had died at 1.24am, turning to the nurse who was with him, squeezing her hand, and saying faintly, 'I am going to the inevitable.'	Body Parts: Essays on Life-Writing	Hermione Lee
01:25	The descent began at twenty-five minutes past one at night, and the chamber, drawn under by the reservoirs full of water, disappeared from the surface of the ocean. The emotion of the officers and sailors on board was now divided between the prisoners in the projectile and the prisoners in the submarine apparatus.	Around the Moon	Jules Verne
01:26	When I reached the stop and got off, it was already one twenty-six A.M. by the bus's own clock. I had been gone over ten hours.	The Silver Metal Lover	Tanith Lee
01:27	At twenty-seven minutes past one she felt as if she was levitating out of her body.	Trackers	Deon Meyer
01:28	I did not see him until 1:28 am but I knew he was there because I could hear him. He was shouting, 'I want to see my son,' and 'Why the hell is he locked up?' and, 'Of course I'm bloody angry.'	The Curious Incident of the Dog in the Night-time	Mark Haddon
01:29	The break-off rendezvous for this access phase was twenty-four hours from the commencement of solo operations by the executive in the target zone: 01.29 hours today when I'd left Swordfish.	The Mandarin Cypher	Adam Hall
01:30	Half-past one, The street lamp sputtered, The street lamp muttered,	Rhapsody on a Windy Night	T. S. Eliot
01:31	Around 1.30am the door opened and I thought it was Karla, but it was Bug, saying Karla and Laura had gone out for a stag night after they ran out of paint	Microserfs	Douglas Coupland
01:32	She grinned at him with malicious playfulness, showing great square teeth, and then ran for the stairs. One-thirty-two. She thought that she heard a whistle blown and took the last three steps in one stride.	Stamboul Train	Graham Greene
01:33	It was a clear, star-lit night. A great, lonely sea of black country with a fleeting light or two in the distance, seeming to make its blackness even lonelier, was all that she could distinguish. Toward the east she thought she saw a thin rind of pearl and pink on the horizon, and looked at her watch feverishly. It was twenty-seven minutes to two. She shut out the night and the star-light, and listened once more to the pulsing rhythm of the car-wheels.	The Silver Poppy	Arthur Stringer
01:34	Myrtle couldn't sleep. Her digital clock's luminous numbers told her it was 01:34 in the morning, which would be later than she had ever been awake in her life. But the questions were so many, and so insistent, that they just wouldn't let her go.	Drowned Hopes	Donald E. Westlake
01:35	His life, his strength flowed on here in this little, tree-grown field of death; and his watch showed twenty-five minutes to two when at last the spade struck wood.	The Witch	A.E. van Vogt
01:36	On the north-east side of the street, about midway between the fish and flesh markets in the seaport town of Falmouth, and at about the silent and solemn hour of thirty-six minutes past one by my father's watch, on the morning of the 28th day of December, of the year of grace 1752, His Gracious Majesty George the Second being King of Great Britain and Ireland, (it is necessary in important matters to be particular). I was introduced with the usual forms and ceremonies into the ancient family of the Hurrys, as the undoubted child of my father Richard and my mother Joan, the ninth, and as it subsequently proved, the last of their promising offspring.	Hurricane Hurry	W H G Kingston
01:37	Major Yun appeared at General Castleton's elbow, and handed an interface to the base leader. General Castleton took it, his face darkening and his frown deepening as he read it. 'What is it?' she asked when he looked up. 'At 01:37 this morning, an encrypted message was sent from inside the base.'	Outcasts	Gail Delaney
01:38	z-32 wasted no time taking advantage of the new situation by doubling back in an attempt to regroup the German force and make for the English Channel, but at 0138 hours Tartar wheeled towards her.	The Juno Beach Trilogy	Mark Zuehlke
01:39	You are viewing the webjournal of blueeyedboy posting on: badguysrock@webjournal.com Posted at: 01.39 on Friday, February 22 Status: public Mood: nasty Listening to: Gloria Gaynor: 'I Will Survive' She has changed her name a number of times, but folk still call her Gloria Green.	blueeyedboy	Joanne Harris
01:40	March twelfth, one-forty am, she leaves a group of drinking buddies to catch a bus home. She never makes it.	Bones to Ashes	Kathy Reichs
01:41	Raffles, without a stitch of clothing on his body, but with a glass phial, corked with cotton-wool, between his teeth, and a tiny screw-driver behind his ear, squirmed feet first through the ventilator over his berth; and it was nineteen minutes to two when he returned, head first, with the phial still between his teeth, and the cotton-wool rammed home to still the rattling of that which lay like a great gray bean within.	The Amateur Cracksman	E. W. Hornung
01:42	At 01:42 and 26 seconds, the plane hit the side of Nimitz Hill, a densely vegetated mountain three miles southwest of the airport — $60 million and 212,000 kilograms of steel slamming into rocky ground at one hundred miles per hour.	Outliers: The Story of Success	Malcolm Gladwell
01:43	They were timed at 01:43 on the morning of the attack on Kenny Stocks.	Trophies	David Evans
01:44	She knew it was the stress, two long days of stress, and she looked at her watch, sixteen minutes to two, and she almost leaped with fright, a shock wave rippling through her body, where had the time gone?	Trackers	Deon Meyer
01:45	And the whole house seemed resounding with his shouts. When it was ten or fifteen minutes to two the deacon would come in; he was a lanky young man of twenty-two, with long hair, with no beard and a hardly perceptible moustache. Going into the drawing-room, he crossed himself before the ikon, smiled, and held out his hand to Von Koren. 'Good-morning,' the zoologist said coldly. 'Where have you been?'	The Duel	Anton Pavlovich Chekhov
01:46	That particular phenomenom got Presto up at one forty-six a.m.; silently, he painted his face and naked body with camouflage paint. He opened the door to his room and stepped out into the common lobby.	Fardnock's Revenge	J. W. Stockton
01:47	The Barrakuda crossed into the territorial waters of Canada at 0147 hours local time. The submarine cruised northeasterly one hundred meters below the surface at a stealthy five knots.	The Good Spy	Jeffrey Layton
01:48	Mr. Peripart Sir then you immediately departed under a special clearance from the government at Saigon and returned here at 01:48 local time	Finity	John Barnes
01:49	Monsieur Pamplemousse had not one, but several large 'pick-me-ups' before he retired for the night. Consequently it took him rather longer than usual to regain consciousness when the phone rang for the second time. Screwing up his eyes, it was a moment or two before he deciphered the figures 01.49 on the digital bedside clock, and several more before he finally made sense of what was being said. It was a man's voice, and it kept repeating the word Estragon.	Monsieur Pamplemousse and the Militant Midwives	Michael Bond
01:50	No, she thought: every spinster legal secretary, bartender, and orthodontist had a cat or two—and she could not tolerate (not even as a lark, not even for a moment at ten minutes before two AM), embodying cliché.	Dog	Michelle Herman
01:51	At nine minutes to two the other vehicle arrived. At first Milla didn't believe her eyes: that shape, those markings.	Trackers	Deon Meyer
01:52	Link telepathically confirmed it was eight minutes to two in the morning. I was only eight minutes away from the anomaly appearing again. The time in the 26th century was running out fast for me.	A Timeless Journey	Elliot Sacchi
01:53	Bony gave a further two swallows, retrieved the glass, told the old man to go to sleep, and left the room, walking without noise back to his bedroom window. He had been in his room only a minute when he heard the Buick returning. It was then seven minutes to two.	The Mountains have a Secert	Arthur Upfield
01:54	Six minutes to two. Janina Mentz watched the screen, where the small program window flickered with files scrolling too fast to read, searching for the keyword.	Trackers	Deon Meyer
01:55	It wanted five minutes to two; I therefore had still two hours of my watch to stand; and, to stave off a certain feeling of drowsiness that was insidiously taking possession of me, I went down on to the main deck and proceeded to pace to and fro in the waist, satisfied that I might walk there as long as I pleased without disturbing the rest of my companions, each of whom occupied a cabin under the poop.	Overdue: The Story of a Missing Ship	Harry Collingwood
01:56	Mr. Peripart Sir at 01:56 you ordered me back into shutdown mode	Finity	John Barnes
01:57	It was three minutes to two. If the earth did continue to exist, I would have a long night ahead of me.	Interstellar Pig	William Sleator
01:58	It was two minutes to two. I checked my flashlight and envelope and let the inside of my arm touch the firmness of my holster through my jacket. It was reassuring.	Bullet for a Star	Stuart M. Kaminsky
01:59	For twenty minutes he sat and watched as the gap between the ship and Epun closed, as the ship's computer teased and kneaded the numbers that would bring it into a loop around the little moon, and close the loop and keep it there, orbiting in perpetual obscurity. 'One ... fifty-nine …'	So Long, and Thanks for All the Fish	Douglas Adams
02:00	Lady Macbeth: Out, damned spot! out, I say!—One: two: why, then, 'tis time to do't.—Hell is murky!—Fie, my lord, fie! a soldier, and afeard? What need we fear who knows it, when none can call our power to account?—Yet who would have thought the old man to have had so much blood in him. 	Macbeth	William Shakespeare
02:01	I checked my watch. 2.01am. The cheeseburger Happy Meal was now only a distant memory. I cursed myself for not also ordering a breakfast sandwich for the morning.	The Selected Works of T.S. Spivet	Reif Larsen
02:02	After two more visits, the most celebrated practitioner told Popanilla that his disorder was 'unquestionably nervous;' that he had over-excited himself by talking too much; that in future he must count five between each word he uttered, never ask any questions, and avoid society; that is, never stay at an evening party on any consideration later than twenty-two minutes past two, and never be induced by any persuasion to dine out more than once on the same day. The most celebrated practitioner added that he had only to observe these regulations, and that he would speedily recover his energy. Popanilla never asked a question for a whole week, and Skindeep never knew him more delightful.	The Voyage of Captain Popanilla	Benjamin Disraeli
02:03	At three minutes past two, the lights in the motel corridor flickered and went out, leaving the long hallway in relative darkness, the spill from the stairwell the only source of illumination.	The Bourne Identity	Robert Ludlum
02:04	'Wake up.'<br>'Having the worst dream.'<br>'I should certainly say you were.'<br>'It was awful. It just went on and on.'<br>'I shook you and shook you and.'<br>'Time is it.'<br>'It's nearly - almost 2:04.	Oblivion	David Foster Wallace
02:05	At 2.05 the fizzy tights came crackling off.	London Fields	Martin Amis
02:06	And the time was six minutes past two.... And what of Jonah? He and Harry would probably arrive about five minutes too late. I bit my lip savagely....	Berry and Co.	Dornford Yates
02:07	Saturday, 17 November — 2.07 a.m. I cannot sleep. Ben is upstairs, back in bed, and I am writing this in the kitchen. He thinks I am drinking a cup of cocoa that he has just made for me. He thinks I will come back to bed soon. I will, but first I must write again.	Before I Go To Sleep	S. J. Watson
02:08	He glanced at the bed where his father had lain so long, and in an effort to scramble swiftly to his feet was all but defeated by the cramps in his body. The clock on the mantelshelf said eight minutes past two.	The Serpent	Neil M. Gunn
02:09	Nic speeds the images up some more, thirty-two times normal speed, then a flash of light on the screen makes him take notice. He glances at the time log. It's just after two in the morning – 02.09:15 to be exact.	The Turin Shroud Secret	Sam Christer
02:10	He glanced at his clock and saw it was ten past two. He looked back towards the house and saw the stained glass roof-light above the hall glowing. He got up and opened the window and stared out and as he did so there came the faint sound of hysterical laughter. Or crying.	Blott on the Landscape	Tom Sharpe
02:11	More likely than not, he was right. Harker glanced at the chronometer on his heads-up display: 02:11 shiptime. Yet he couldn't help but feel that something was wrong. As if enough hadn't gone wrong already. 'Leave the gear behind,' he said. 'We're heading straight back.'	Spindrift	Allen Steele
02:12	Then the lights went out all over the city. It happened at 2.12am according to power-house records, but Blake's diary gives no indication of the time. The entry is merely, 'Lights out - God help me.'	The Haunter of the Dark	H. P. Lovecraft
02:13	You're going to a dimension that diverged from our own at 02.13 on the morning of Wednesday 20 February 1918, over twenty-six years earlier. You don't know what it's going to be like...	The Second Internet Cafe, Part 1: The Dimension Researcher	Chris James
02:14	There are no more lights on now than when he arrived. That's something to be positive about. No great commotion in the building after the shooting. A glance at the clock in the car: fourteen minutes past two.	How a Gunman Says Goodbye	Malcolm Mackay
02:15	At 2.15am a policeman observed the place in darkness, but with the stranger's motor still at the curb.	The Shadow Out of Time	H. P. Lovecraft
02:16	Instead, I will tell you, that at 02:16 hours this morning, General Drake's aircraft crashed in the desert, killing all aboard.' She waited for the penny to drop.	Echo of Tomorrow	Rob Buckman
02:17	One of the 'choppers' stopped, did an about-turn and came back to me. The flare spluttered and faded, and now the glare of the spotlight blinded me. I sat very still. It was 2.17. Against the noise of the blades a deeper resonant sound bit into the chill black air.	The Ipcress File	Len Deighton
02:18	It was 2:18 in the morning, and Donna could see no one else in any other office working so late.	Moo	Jane Smiley
02:19	With the secondary reduction gear useless, there was no way the Petros Jupiter could proceed and at 02.19 the master contacted Land's End coastguard station on VHF to inform the watch officer of the situation and enquire about the availability of a tug. The tanker was now lying helpless, wind-rode and wallowing heavily, her hull broadside to the sea, which were big and breaking.	The Black Tide	Hammond Innes
02:20	She turned abruptly to the nurse and asked the time.'Two-twenty'<br>'Ah...Two-twenty!' Genevieve repeated, as though there was something urgent to be done.	Southern Mail	Antoine de Saint-Exupery
02:21	2:21 a.m. Lance-Corporal Hartmann emerged from the house in the Rue de Londres.	The Night of the Generals	Hans Hellmut Kirst
02:22	I got here at two twenty-two. 	The Abominable Man	Maj Sjöwall
